Date_tweeted,username,display_name,tweet_link,Tweets,Number_of_Likes,Number_retweets,Qouted_times,Source_of_Tweet,number_of_followers,location
2023-02-22 06:30:47,ChiluTeflonBosS,CHILUFYA 🇿🇲🇿🇲🇿🇲 (#CFC),https://twitter.com/ChiluTeflonBosS/status/1628281127038291971,"So these so called prophets,papas,mama's,man of god,woman of god the list is endless out of all the countries pa chalo God only tells them about #Zambia🇿🇲 🤔🤔..it's an election year ku #NigeriaDecides2023 So far personally I have not heard any prophecy about  #Nigeria",1,0,0,Twitter for Android,543,Zambia 🇿🇲🇿🇲 ku chalo 
2023-02-22 06:30:41,Nwokeblog9ja,Nwokeblog9ja💡,https://twitter.com/Nwokeblog9ja/status/1628281101927022594,"The Inter-Consultative Committee on Election Security (ICCES), chaired by INEC Chairman, Prof. Mahmood Yakubu, yesterday held its final meeting in Abuja to put final touches on the elaborate security arrangements for the 2023 General Election.
#NigeriaDecides2023 https://t.co/bvoPoDrWlH",0,0,0,Twitter for iPhone,2899,
2023-02-22 06:30:04,DavidMosesOlofu,David Moses Olofu,https://twitter.com/DavidMosesOlofu/status/1628280947098484737,"Happy midweek
From Jewel in the Savannah 💎
From @Amanafm98_1 @DavidMosesOlofu 
As #NigeriaDecides2023 Vote wisely.
@inecnigeria @BrainBuilders01 @DanielOyanta @ForFoce @FOYAE4YOU https://t.co/djEnBVFsF8",4,0,0,Twitter for Android,2125,Nigeria
2023-02-22 06:29:28,LPoromon,Blessing Udofa,https://twitter.com/LPoromon/status/1628280796296478720,"The Nigeria we dream of will be possible by our individual and collective actions
#voting
#NigeriaDecides2023 
#bestpresidentweneverhad
#thatlawyerchick https://t.co/Y5eKaSLJ5D",1,1,0,Twitter for Android,188,Nigeria
2023-02-22 06:29:19,inecnigeria,INEC Nigeria,https://twitter.com/inecnigeria/status/1628280758845468673,"Do you know the delimitation data for #NigeriaDecides2023 election?
✓ 18 Political Parties
✓ 93,469,008 Registered Voters
✓ 1,491 Electoral Constituencies
✓ 774 Local Government Area
✓ 8,809 Registration Areas/Wards
✓ 176,846 Polling Units
✓ 15,331 Contestants https://t.co/8xvqU4Wy7z",3920,2018,87,Twitter for Android,2523589,Nigeria
2023-02-22 06:29:15,BonaNaija,BONA NAIJA,https://twitter.com/BonaNaija/status/1628280740260503552,"Are you ready to Win N20,000? It is simple just join the #ZeroElectionViolence challenge &amp; say no to Violence during election 
Read the instructions on the flyer to participate @southsaharan @theawakeningp

#SouthSaharan 
#EkweNdigbo 
#NigeriaDecides2023 https://t.co/kOxGtV3UWN",5,5,0,Twitter for Android,11220,"Abuja, Nigeria"
2023-02-22 06:28:28,koachernest,Ernest Attah,https://twitter.com/koachernest/status/1628280545959374848,I have a feeling @inecnigeria will postpone this election.  #Elections2023 #NigeriaDecides2023,0,0,0,Twitter for Android,11,"Federal Capital Territory, Nig"
2023-02-22 06:28:28,Ririchyy,RICHYᶜᴴhere to drag ur faves,https://twitter.com/Ririchyy/status/1628280544080322561,#NigeriaDecides2023 #ObiDatti2023 vote wisely #VoteLabourParty #VoteWisely,1,1,0,Twitter for iPhone,518,Somewhereonearth
2023-02-22 06:28:09,DavidMosesOlofu,David Moses Olofu,https://twitter.com/DavidMosesOlofu/status/1628280463717441536,"@Amanafm98_1 morning Drive 🚗🚨 with @DavidMosesOlofu featuring News 🗞️🗞️🗞️ headlines Guest segment with @DanielOyanta on Analysis towards a peaceful elections
#Sports and more with @SPORTDISCIPLE
#NigeriaDecides2023 
#NigeriaDecides2023
@ForFoce @inecnigeria @GombeNoa @FOYAE4YOU https://t.co/gpffd0ktD2",2,0,0,Twitter for Android,2125,Nigeria
2023-02-22 06:27:29,achirivictor,Dreams are VALID 💪🇨🇲,https://twitter.com/achirivictor/status/1628280295400022016,"Dear Nigerian friends. May the universe favor you with @PeterObi as president. If a foreigner could vote, I will vote him. 

Hearts♥️♥️ to the #obedientclan  #PVL2023 #NigeriaDecides2023",4,1,0,Twitter for Android,379,Cameroon
2023-02-22 06:27:28,MATLARENTEDAUTO,m_ted auto,https://twitter.com/MATLARENTEDAUTO/status/1628280293659385856,"Few days to go Mr president 💯

#NigeriaDecides2023 https://t.co/4pyf2XDhM8",0,0,0,Twitter for Android,165,"Lagos, Nigeria"
2023-02-22 06:27:00,Jayibiwoye,Jeremy,https://twitter.com/Jayibiwoye/status/1628280174742589442,"""Are we really free or we just changed taskmasters?""
We have seen different shades of shege in Nigeria🥺😭
Poverty spreads like wildfire 
But now it's time to do Nigeria better 💯
#OBIDIENCE is better than sacrifice o

#NigeriaDecides2023 #Elections2023 #ObiDatti2023 #OBIDIENTS https://t.co/4QGxOeJFsQ",22,4,0,Twitter for Android,502,
2023-02-22 06:26:50,tosino52,Oluwatosin Ronke,https://twitter.com/tosino52/status/1628280135366414336,"It's 3 Days to Presidential Election
148 Days of Campaign.

Victory is sure for Asiwaju Bola Ahmed Tinubu Insha Allah.
#TinubuIsComing
#NigeriaDecides2023",12,8,1,Twitter for Android,5614,"Abuja, Nigeria"
2023-02-22 06:25:28,SamzyVG,Samzy,https://twitter.com/SamzyVG/status/1628279789726343170,"If only they can cover every single polling unit like this. Would have been better ✌️

But at the End of the Day! We’ll all be here to talk about it.. 

#NigeriaDecides2023 https://t.co/M1GcGfD6RB",1,0,0,Twitter for iPhone,2475,
2023-02-22 06:25:14,zindzijade,Zindzi 🖤,https://twitter.com/zindzijade/status/1628279729257062402,Meanwhile the president is also the minister of petroleum. Let us not keep suffering ourselves abeg. Vote with wisdom #NigeriaDecides2023,0,0,0,Twitter for Android,321,Following d yellow brick road!
2023-02-22 06:24:46,IbukunAdejumo,Ibukun Yemi Adejumo,https://twitter.com/IbukunAdejumo/status/1628279613045579776,"This is a time of mercy, mercy everywhere
🤔
May one locate you 👉🏼
#Mercy 
#Christian 
#AshWednesday2023 
#BibleStudy 
#NigeriaDecides2023",0,0,0,Twitter Web App,64,"Lagos, Nigeria"
2023-02-22 06:24:21,sanusi1995,shevy,https://twitter.com/sanusi1995/status/1628279507227402240,"Put your mind at rest - as eligible Voters, vote and don't fight.  

Shun violence, don't give in to base desires and scuttle your franchise.  

Vote Asiwaju, and make sure you defend your vote.

#AsiwajuNiWa #NigeriaDecides2023 https://t.co/0AdSUVR5nb",2,1,0,Twitter for iPhone,1306,
